,filter_phase2
5_2_3_2_1_1,499.0
5_2_2_1_1_1,95.0
5_3_1_1_1_1,162.0
5_2_2_3_1_1,496.0
5_2_3_1_1_1,97.0
5_2_2_2_1_1,497.0
5_2_1_1_1_3,1.0
5_2_1_3_1_1,497.0
5_2_1_1_1_1,177.0
5_3_1_1_1_2,7.0
5_2_3_3_1_1,497.0
5_2_1_1_1_2,24.0
5_2_1_2_1_1,497.0
