,filter_phase3
5_2_1_1_1_1,20.0
5_2_2_1_1_1,0.0
5_2_2_3_1_1,114.0
5_2_1_1_1_2,37.0
5_2_3_3_1_1,97.0
5_3_1_1_1_1,99.0
5_2_3_2_1_1,103.0
5_2_1_3_1_1,145.0
5_2_2_2_1_1,116.0
5_2_1_1_1_3,4.0
5_2_3_1_1_1,0.0
5_2_1_2_1_1,162.0
5_3_1_1_1_2,45.0
