,0,1,2,3,4,5,6,7,8,9,10
264,np_sin,2,2,3,1,1,500,500,497,496,84
265,np_sin,2,3,1,1,1,500,0,0,0,0
266,np_sin,2,3,2,1,1,500,500,500,493,95
267,np_sin,2,3,3,1,1,500,500,499,496,96
268,np_sin,3,1,1,1,1,500,500,487,485,112
269,np_sin,3,1,1,1,2,500,492,415,415,114
270,np_sqrt,2,1,2,1,1,500,500,145,145,72
271,np_sqrt,2,1,3,1,1,500,500,138,138,60
272,np_sqrt,2,2,1,1,1,500,165,0,0,0
273,np_sqrt,2,2,2,1,1,500,500,146,146,54
274,np_sqrt,2,2,3,1,1,500,500,145,145,60
275,np_sqrt,2,3,1,1,1,500,463,0,0,0
276,np_sqrt,2,3,2,1,1,500,500,108,107,31
277,np_sqrt,2,3,3,1,1,500,500,98,98,32
278,np_sqrt,3,1,1,1,1,500,499,22,22,17
279,np_sqrt,3,1,1,1,2,500,473,7,7,7
280,np_tanh,2,1,2,1,1,500,500,497,497,151
281,np_tanh,2,1,3,1,1,500,500,499,497,145
282,np_tanh,2,2,1,1,1,500,500,235,212,30
283,np_tanh,2,2,2,1,1,500,500,493,492,117
284,np_tanh,2,2,3,1,1,500,500,493,492,140
285,np_tanh,2,3,1,1,1,500,500,215,198,28
286,np_tanh,2,3,2,1,1,500,500,496,496,110
287,np_tanh,2,3,3,1,1,500,500,497,497,112
288,np_tanh,3,1,1,1,1,500,500,321,321,96
289,np_tanh,3,1,1,1,2,500,500,176,176,66
290,np_tan,2,1,2,1,1,500,500,19,19,16
291,np_tan,2,1,3,1,1,500,500,11,11,10
292,np_tan,2,2,1,1,1,500,0,0,0,0
293,np_tan,2,2,2,1,1,500,500,4,4,4
294,np_tan,2,2,3,1,1,500,500,9,9,8
295,np_tan,2,3,1,1,1,500,0,0,0,0
296,np_tan,2,3,2,1,1,500,500,12,12,11
297,np_tan,2,3,3,1,1,500,500,5,5,5
298,np_tan,3,1,1,1,1,500,467,344,343,85
299,np_tan,3,1,1,1,2,500,221,3,3,3
