,0,1,2,3,4,5,6,7,8,9,10,11,12,13
61,21,2_3_1_1_1,10.0,0.0,0.0,,,,,,0.0,0.0,6.0,6.0
62,21,3_1_1_1_1,10.0,0.0,0.0,,,,,,0.0,0.0,9.0,9.0
63,21,3_1_1_1_2,10.0,0.0,0.0,,,,,,0.0,0.0,9.0,9.0
64,21,2_2_3_1_1,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0
65,21,2_1_2_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
66,21,2_1_3_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
67,21,2_1_1_1_3,10.0,0.0,0.0,,,,,,,0.0,8.0,8.0
68,21,2_1_1_1_2,10.0,0.0,0.0,,,,,,,0.0,8.0,8.0
69,21,2_1_1_1_1,10.0,0.0,0.0,,,,,,,0.0,5.0,5.0
70,21,2_3_2_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
71,21,2_2_1_1_1,10.0,0.0,0.0,,,,,,,0.0,6.0,6.0
72,21,2_3_3_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
73,21,2_2_2_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
74,21,2_3_1_1_1,10.0,0.0,0.0,,,,,,,0.0,6.0,6.0
75,21,3_1_1_1_1,10.0,0.0,0.0,,,,,,,0.0,9.0,9.0
76,21,3_1_1_1_2,10.0,0.0,0.0,,,,,,,0.0,9.0,9.0
77,21,2_2_3_1_1,10.0,10.0,10.0,,,,,,,10.0,10.0,10.0
78,21,2_1_2_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
79,21,2_1_3_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
80,21,2_1_1_1_3,10.0,0.0,10.0,,,,,,,,8.0,8.0
81,21,2_1_1_1_2,10.0,0.0,10.0,,,,,,,,8.0,8.0
82,21,2_1_1_1_1,10.0,0.0,10.0,,,,,,,,5.0,5.0
83,21,2_3_2_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
84,21,2_2_1_1_1,10.0,0.0,10.0,,,,,,,,6.0,6.0
85,21,2_3_3_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
86,21,2_2_2_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
87,21,2_3_1_1_1,10.0,0.0,10.0,,,,,,,,6.0,6.0
88,21,3_1_1_1_1,10.0,0.0,10.0,,,,,,,,9.0,9.0
89,21,3_1_1_1_2,10.0,0.0,10.0,,,,,,,,9.0,9.0
90,21,2_2_3_1_1,10.0,10.0,10.0,,,,,,,,10.0,10.0
91,21,x_1_1_x_x,,,,,,,,,,,26.0,26.0
92,21,x_2_1_x_x,,,,,,,,,,,6.0,6.0
93,21,x_3_1_x_x,,,,,,,,,,,6.0,6.0
94,21,2_1_2_1_1,10.0,10.0,10.0,,,,,,,,,
95,21,2_1_3_1_1,10.0,10.0,10.0,,,,,,,,,
96,21,2_1_1_1_3,10.0,0.0,0.0,,,,,,,,,
97,21,2_1_1_1_2,10.0,0.0,0.0,,,,,,,,,
98,21,2_1_1_1_1,10.0,0.0,0.0,,,,,,,,,
99,21,2_3_2_1_1,10.0,10.0,9.0,,,,,,,,,
100,21,2_2_1_1_1,10.0,0.0,0.0,,,,,,,,,
101,21,2_3_3_1_1,10.0,10.0,10.0,,,,,,,,,
102,21,2_2_2_1_1,10.0,10.0,10.0,,,,,,,,,
103,21,2_3_1_1_1,10.0,0.0,0.0,,,,,,,,,
104,21,3_1_1_1_1,10.0,0.0,0.0,,,,,,,,,
105,21,3_1_1_1_2,10.0,0.0,0.0,,,,,,,,,
106,21,2_2_3_1_1,10.0,10.0,10.0,,,,,,,,,
