,0,1,2,3,4,5,6,7,8,9
0,np_quicksort,2.0,1.0,1.0,1.0,1.0,500.0,344.0,1.0,1.0
1,np_quicksort,2.0,1.0,1.0,1.0,2.0,500.0,0.0,0.0,0.0
2,np_quicksort,2.0,1.0,2.0,1.0,1.0,500.0,500.0,491.0,489.0
3,np_quicksort,2.0,1.0,3.0,1.0,1.0,500.0,500.0,494.0,491.0
4,np_quicksort,2.0,2.0,1.0,1.0,1.0,500.0,32.0,0.0,0.0
5,np_quicksort,2.0,2.0,2.0,1.0,1.0,500.0,500.0,498.0,497.0
6,np_quicksort,2.0,2.0,3.0,1.0,1.0,500.0,500.0,493.0,
7,np_quicksort,2.0,3.0,1.0,1.0,1.0,500.0,36.0,0.0,
8,np_quicksort,2.0,3.0,2.0,1.0,1.0,500.0,500.0,489.0,
9,np_quicksort,2.0,3.0,3.0,1.0,1.0,500.0,500.0,497.0,
10,np_quicksort,3.0,1.0,1.0,1.0,1.0,500.0,128.0,0.0,
11,np_quicksort,3.0,1.0,1.0,1.0,2.0,500.0,0.0,0.0,
