,filter_phase3
5_2_3_2_1_1,465.0
5_2_2_3_1_1,450.0
5_2_3_3_1_1,444.0
5_2_2_1_1_1,7.0
5_3_1_1_1_1,13.0
5_2_3_1_1_1,9.0
5_2_1_1_1_1,10.0
5_3_1_1_1_2,6.0
5_2_1_1_1_2,9.0
5_2_1_1_1_3,1.0
5_x_1_1_x_x,81.0
5_x_2_1_x_x,4.0
5_x_3_1_x_x,4.0
5_2_1_2_1_1,475.0
5_2_2_2_1_1,449.0
5_2_1_3_1_1,480.0
